date,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_winter,is_spring,is_summer,is_fall,is_christmas_season,is_easter_season,demand_proxy,day_of_year,temperature_2m_mean,temp_warm,temp_cold,temp_moderate,is_rainy,temperature_2m_mean_lag7,temperature_2m_mean_lag14,temperature_2m_mean_rolling7,sentiment_lag7,sentiment_lag14,sentiment_rolling7,event_count_lag7,event_count_lag14,event_count_rolling7,precipitation_sum,sunshine_duration,event_count,sentiment,pred_random_forest,pred_gradient_boosting,pred_ridge,demand_forecast,forecast_lower,forecast_upper
2026-02-25,2,25,9,2,1,2026,0,1,0,0,0,0,0,57.32824384460777,56,4.833333333333333,0,1,0,0,1.6666666666666667,4.1000000000000005,4.99047619047619,0,0,0,0,0,0,0,0,0,0,44.40513011913644,44.450286207428114,45.72841803086659,44.86127811914372,38.13208640127216,51.59046983701527
2026-02-26,3,26,9,2,1,2026,0,1,0,0,0,0,0,48.87111849756732,57,3.466666666666667,0,1,0,0,1.7999999999999998,3.533333333333333,5.228571428571429,0,0,0,0,0,0,0,0,0,0,44.49463780799938,45.039501190250775,45.23178900483178,44.92197600102731,38.18367960087321,51.6602724011814
2026-02-27,4,27,9,2,1,2026,0,1,0,0,0,0,0,50.337641023439616,58,3.6666666666666665,0,1,0,0,3.6,3.033333333333333,5.238095238095238,0,0,0,0,0,0,0,0,0,0,44.7091088257974,45.20538202128352,45.08636262547046,45.000284490850454,38.250241817222886,51.750327164478016
2026-02-28,5,28,9,2,1,2026,1,1,0,0,0,0,0,52.87625906893272,59,2.3000000000000003,0,1,0,0,6.233333333333333,2.866666666666667,4.6761904761904765,0,0,0,0,0,0,0,0,0,0,54.27780815602923,54.64775378956906,55.08995873308705,54.67184022622845,46.47106419229418,62.87261626016271
2026-03-01,6,1,9,3,1,2026,1,0,1,0,0,0,0,57.27808637737409,60,2.3000000000000003,0,1,0,0,6.766666666666667,3.1999999999999993,4.038095238095238,0,0,0,0,0,0,0,0,0,0,54.29327134702596,53.52510512716638,55.194516882854515,54.33763111901561,46.18698645116327,62.48827578686795
2026-03-02,0,2,10,3,1,2026,0,0,1,0,0,0,0,50.554612948549334,61,3.5,0,1,0,0,6.8999999999999995,3.966666666666667,3.5523809523809526,0,0,0,0,0,0,0,0,0,0,43.94457204956797,43.84003080727361,45.80860970757358,44.53107085480505,37.85141022658429,51.2107314830258
2026-03-03,1,3,10,3,1,2026,0,0,1,0,0,0,0,44.24503211288849,62,4.5,0,1,0,0,4.8,3.3000000000000007,3.50952380952381,0,0,0,0,0,0,0,0,0,0,44.44178248990845,44.77256366021145,46.03927705853268,45.08454106955086,38.32185990911823,51.84722222998349
2026-03-04,2,4,10,3,1,2026,0,0,1,0,0,0,0,51.87849009172836,63,5.866666666666667,0,0,1,0,4.833333333333333,1.6666666666666667,3.6571428571428575,0,0,0,0,0,0,0,0,0,0,44.178556260704774,43.40253753530962,47.03761485705398,44.87290288435613,38.14196745170271,51.60383831700955
2026-03-05,3,5,10,3,1,2026,0,0,1,0,0,0,0,46.99680655040598,64,5.733333333333333,0,0,1,0,3.466666666666667,1.7999999999999998,3.980952380952381,0,0,0,0,0,0,0,0,0,0,44.224703582691454,43.78034279221639,46.966386293478976,44.99047755612893,38.24190592270959,51.73904918954827
2026-03-06,4,6,10,3,1,2026,0,0,1,0,0,0,0,48.54153125103362,65,4.466666666666667,0,1,0,0,3.6666666666666665,3.6,4.095238095238096,0,0,0,0,0,0,0,0,0,0,44.57733368365588,44.68986355410492,45.784661718044774,45.01728631860186,38.26469337081158,51.76987926639214
2026-03-07,5,7,10,3,1,2026,1,0,1,0,0,0,0,56.991466938853016,66,4.366666666666667,0,1,0,0,2.3000000000000003,6.233333333333333,4.390476190476191,0,0,0,0,0,0,0,0,0,0,55.09903240887277,56.220900442743755,56.42218368243469,55.91403884468374,47.52693301798118,64.3011446713863
2026-03-08,6,8,10,3,1,2026,1,0,1,0,0,0,0,69.26139092254469,67,4.433333333333334,0,1,0,0,2.3000000000000003,6.766666666666667,4.695238095238095,0,0,0,0,0,0,0,0,0,0,54.89354283547496,56.99085693218944,56.360245469050156,56.08154841223819,47.66931615040246,64.49378067407392
2026-03-09,0,9,11,3,1,2026,0,0,1,0,0,0,0,49.93251387631033,68,3.8666666666666667,0,1,0,0,3.5,6.8999999999999995,4.747619047619048,0,0,0,0,0,0,0,0,0,0,46.342505469745376,46.55924753304934,46.44304473890477,46.44826591389983,39.48102602681485,53.4155058009848
2026-03-10,1,10,11,3,1,2026,0,0,1,0,0,0,0,44.7114453552205,69,5.0,0,0,1,0,4.5,4.8,4.819047619047619,0,0,0,0,0,0,0,0,0,0,45.963004052131694,46.56688158679916,47.31894957755275,46.61627840549454,39.623836644670355,53.60872016631872
2026-03-11,2,11,11,3,1,2026,0,0,1,0,0,0,0,54.11272456051594,70,4.566666666666666,0,1,0,0,5.866666666666667,4.833333333333333,4.633333333333334,0,0,0,0,0,0,0,0,0,0,46.08380147720946,46.883168065429736,46.24649193134274,46.40448715799398,39.44381408429488,53.36516023169307
2026-03-12,3,12,11,3,1,2026,0,0,1,0,0,0,0,43.89578175014489,71,5.566666666666666,0,0,1,0,5.733333333333333,3.466666666666667,4.609523809523809,0,0,0,0,0,0,0,0,0,0,44.61748143828884,45.204854577093464,47.155863328374515,45.65939978125227,38.810489814064425,52.508309748440105
2026-03-13,4,13,11,3,1,2026,0,0,1,0,0,0,0,51.04431797502378,72,7.5,0,0,1,0,4.466666666666667,3.6666666666666665,5.042857142857143,0,0,0,0,0,0,0,0,0,0,45.87749089465557,46.79085863450489,47.648552424971975,46.772300651377485,39.75645555367086,53.7881457490841
2026-03-14,5,14,11,3,1,2026,1,0,1,0,0,0,0,50.201649380601125,73,7.133333333333333,0,0,1,0,4.366666666666667,2.3000000000000003,5.438095238095237,0,0,0,0,0,0,0,0,0,0,56.10896675274295,56.21050481387455,58.02886779936124,56.78277978865958,48.26536282036064,65.30019675695851
2026-03-15,6,15,11,3,1,2026,1,0,1,0,0,0,0,53.359069755507846,74,5.666666666666667,0,0,1,0,4.433333333333334,2.3000000000000003,5.614285714285715,0,0,0,0,0,0,0,0,0,0,55.02845771424005,55.894333459739194,57.52495195972955,56.149247711236264,47.726860554550825,64.5716348679217
2026-03-16,0,16,12,3,1,2026,0,0,1,0,0,0,1,50.984306179345616,75,5.966666666666666,0,0,1,0,3.8666666666666667,3.5,5.914285714285714,0,0,0,0,0,0,0,0,0,0,44.60865071151747,45.05229585510979,47.387011797997076,45.68265278820811,38.83025486997689,52.53505070643932
2026-03-17,1,17,12,3,1,2026,0,0,1,0,0,0,1,53.69233289997705,76,6.166666666666667,0,0,1,0,5.0,4.5,6.0809523809523816,0,0,0,0,0,0,0,0,0,0,44.7645835446716,45.555064748144844,47.32477622526714,45.881474839361196,38.999253613457014,52.76369606526537
2026-03-18,2,18,12,3,1,2026,0,0,1,0,0,0,1,50.85684140594985,77,5.533333333333332,0,0,1,0,4.566666666666666,5.866666666666667,6.219047619047619,0,0,0,0,0,0,0,0,0,0,45.731249154767674,46.25950981374075,47.113542056949925,46.368100341819456,39.412885290546534,53.32331539309237
2026-03-19,3,19,12,3,1,2026,0,0,1,0,0,0,1,49.4217585880588,78,4.866666666666666,0,1,0,0,5.566666666666666,5.733333333333333,6.1190476190476195,0,0,0,0,0,0,0,0,0,0,45.764169736795296,46.56379826782535,45.9901047052149,46.10602423661185,39.19012060112007,53.021927872103625
